customer_id,age,gender,income,location,marital_status,preferred_category,price_range,preferred_brand,loyalty_tier
cust001,34,male,"75000","new york-ny",single,headphones,100-200,zensound,gold
cust002,29,female,"55000","los angeles-ca",married,watch,100-300,vitafit,silver
cust003,45,male,"87000","chicago-il",divorced,computer,500-1500,promax,platinum
cust004,38,female,"62000","houston-tx",married,speaker,50-200,sonicwave,gold
cust005,50,male,"95000","phoenix-az",single,phone,500-1000,alpha,silver
cust006,27,female,"48000","philadelphia-pa",single,headphones,50-200,soundsphere,bronze
cust007,31,male,"68000","san antonio-tx",married,watch,100-300,trackmaster,silver
cust008,26,female,"50000","san diego-ca",single,speaker,50-150,thunderbolt,gold
cust009,41,male,"79000","dallas-tx",married,computer,1000-2000,gigabook,gold
cust010,33,female,"65000","san jose-ca",single,phone,600-900,nova,bronze
cust011,36,male,"72000","austin-tx",divorced,computer,500-1200,flextab,silver
cust012,39,female,"81000","jacksonville-fl",married,watch,100-400,trackmaster,platinum
cust013,28,male,"53000","san francisco-ca",single,headphones,50-250,zensound,bronze
cust014,44,female,"89000","columbus-oh",married,computer,800-1500,gigabook,gold
cust015,30,male,"60000","fort worth-tx",single,phone,600-900,eclipse,silver
cust016,37,female,"77000","indianapolis-in",divorced,speaker,50-150,sonicwave,silver